GNU bc (Addition):
"Number", "Time taken", "Reps"
5,0.0006801853959020577,5226
10,0.0006866913682612397,4470
50,0.0007473776577936446,4863
100,0.0007684713251529227,4383
500,0.0009995203010220938,3495
1000,0.0014009555531730358,2880
5000,0.012511584237726987,311
10000,0.04529217057442816,89
50000,1.033458960999269,4
100000,3.8930033067590557,4
500000,97.88568178249989,4

GD-Posix-Apps bc debug (Addition):
"Number", "Time taken", "Reps"
5,0.0016041570183487023,2451
10,0.002302007661651566,2243
50,0.003362912319518377,929
100,0.00493674051026708,643
500,0.0220999235302745,181
1000,0.03632184829675006,108
5000,0.19036807495867833,20
10000,0.41514339176420534,9
50000,3.6222179399919696,4
100000,11.254739102965686,4

GD-Posix-Apps bc release (Addition):
"Number", "Time taken", "Reps"
5,0.001165805959407194,3078
10,0.001174136638336571,3404
50,0.0012911265531097618,3247
100,0.001296033096457245,3112
500,0.0019048042984814342,1973
1000,0.00227781295685729,1531
5000,0.006928611761712589,482
10000,0.014012613158369444,227
50000,0.13092574823337297,30
100000,0.43565431276025873,9
500000,8.743606202537194,4
1000000,35.52512911951635,4

GD-Posix-Apps bc release (Multiplication):
"Number", "Time taken", "Reps"
5,0.0011697147105008,3354
10,0.0011685534748488563,3437
50,0.001196084232211943,3303
100,0.0015054842563798634,3210
500,0.0017948667653730477,1760
1000,0.0020865738912615723,1488
5000,0.0047801911629073365,736
10000,0.008464381864704273,459
50000,0.03920761185968034,107
100000,0.06608404036353718,47
500000,0.33721447807814303,12
1000000,0.6073015663617601,6
5000000,3.0372362297493964,4
10000000,6.03304486349225,4
50000000,30.76076557399938,4

GNU bc (Multiplication):
"Number", "Time taken", "Reps"
5,0.000681076396444973,5708
10,0.000688714594985156,5750
50,0.0007060201585434666,4806
100,0.000723159524737503,4509
500,0.0007982473565223817,3795
1000,0.0009151908909396792,4218
5000,0.0018547584822730914,1628
10000,0.0029521557619665165,1017
50000,0.01218626563865188,296
100000,0.02363887319908194,161
500000,0.11890201827257195,33
1000000,0.2354636688833125,16
5000000,1.2418690725462511,4
10000000,2.375705339713022,4
50000000,12.348384119046386,4
100000000,25.5148614833015,4
